,transaction_date,merchant_id,Total_Transaction,Total_Paid
0,2018-01-01,535,349,25883.226
1,2018-01-01,42616,141,40918.86000000007
2,2018-01-01,46774,410,306902.6999999997
3,2018-01-01,86302,10,11.339999999999998
4,2018-01-01,124381,285,111383.76600000008
5,2018-01-01,129316,5,15.75
6,2018-01-02,535,729,60263.92799999999
7,2018-01-02,42616,162,48332.77200000007
8,2018-01-02,46774,1708,1431591.8219999978
9,2018-01-02,86302,83,144.77400000000003
10,2018-01-02,124381,757,286978.96800000046
11,2018-01-02,129316,94,252.0
12,2018-01-03,535,657,51071.99399999999
13,2018-01-03,42616,5225,959709.4919999988
14,2018-01-03,46774,1225,1087806.3479999995
15,2018-01-03,86302,94,157.78799999999993
16,2018-01-03,124381,802,315681.7139999998
17,2018-01-03,129316,151,405.8999999999999
18,2018-01-04,535,706,56995.11000000001
19,2018-01-04,42616,4039,736108.793999995
20,2018-01-04,46774,1056,938222.2980000004
21,2018-01-04,57192,2,18.0
22,2018-01-04,86302,112,183.09600000000003
23,2018-01-04,124381,924,336428.46000000014
24,2018-01-04,129316,128,330.30000000000007
25,2018-01-05,535,648,66689.35199999997
26,2018-01-05,42616,1261,228568.87800000343
27,2018-01-05,46774,1469,1188361.62
28,2018-01-05,86302,114,166.374
29,2018-01-05,124381,1029,374897.3580000007
30,2018-01-05,129316,180,492.2999999999997
31,2018-01-06,535,581,55923.588
32,2018-01-06,42616,853,165512.32200000214
33,2018-01-06,46774,540,440394.84000000014
34,2018-01-06,57192,1,9.0
35,2018-01-06,86302,98,139.33800000000005
36,2018-01-06,124381,774,288883.8720000005
37,2018-01-06,129316,161,430.65
38,2018-01-07,535,613,65682.39599999995
39,2018-01-07,42616,708,136958.54400000162
40,2018-01-07,46774,423,333790.56000000006
41,2018-01-07,86302,57,71.892
42,2018-01-07,124381,792,311409.43200000067
43,2018-01-07,129316,108,305.1000000000001
44,2018-01-08,535,654,65227.60800000003
45,2018-01-08,42616,667,125123.41800000147
46,2018-01-08,46774,1639,1409053.5719999971
47,2018-01-08,57192,94,21674.01599999999
48,2018-01-08,86302,160,227.14199999999988
49,2018-01-08,124381,804,291551.67000000045
50,2018-01-08,129316,170,463.9499999999996
51,2018-01-09,535,782,78227.11799999994
52,2018-01-09,42616,506,95264.26200000092
53,2018-01-09,46774,1213,1114713.323999999
54,2018-01-09,57192,106,16373.843999999994
55,2018-01-09,86302,123,234.30599999999984
56,2018-01-09,124381,739,306952.29000000074
57,2018-01-09,129316,206,566.5499999999997
58,2018-01-10,535,758,76767.552
59,2018-01-10,42616,493,89149.68000000084
60,2018-01-10,46774,1908,1603456.0920000025
61,2018-01-10,57192,929,194415.7679999994
62,2018-01-10,86302,107,191.55599999999984
63,2018-01-10,124381,608,237190.5180000004
64,2018-01-10,129316,162,436.95000000000033
65,2018-01-11,535,678,59445.39599999999
66,2018-01-11,42616,492,88701.48000000093
67,2018-01-11,46774,1170,996647.7240000012
68,2018-01-11,57192,990,169174.6739999997
69,2018-01-11,86302,134,251.09999999999988
70,2018-01-11,124381,503,223250.8500000005
71,2018-01-11,129316,150,381.1500000000001
72,2018-01-12,535,822,88896.52799999992
73,2018-01-12,42616,562,94103.22600000109
74,2018-01-12,46774,912,884088.3959999998
75,2018-01-12,57192,903,162166.19399999946
76,2018-01-12,86302,148,220.14000000000004
77,2018-01-12,124381,613,278018.4060000009
78,2018-01-12,129316,184,499.49999999999983
79,2018-01-13,535,615,68158.13399999999
80,2018-01-13,42616,548,94553.730000001
81,2018-01-13,46774,393,294453.70200000005
82,2018-01-13,57192,763,119349.1980000003
83,2018-01-13,86302,77,101.62800000000009
84,2018-01-13,124381,422,176435.3340000004
85,2018-01-13,129316,148,401.8499999999998
86,2018-01-14,535,568,53815.89600000005
87,2018-01-14,42616,827,139404.1500000018
88,2018-01-14,46774,355,282022.7759999999
89,2018-01-14,57192,680,104410.98000000024
90,2018-01-14,86302,39,56.66400000000001
91,2018-01-14,124381,433,185541.1920000004
92,2018-01-14,129316,46,130.95000000000002
93,2018-01-15,535,787,72639.75599999996
94,2018-01-15,42616,629,150398.06400000068
95,2018-01-15,46774,1727,1541562.8040000028
96,2018-01-15,57192,1083,219860.09999999928
97,2018-01-15,86302,85,151.72199999999998
98,2018-01-15,124381,643,256089.3660000004
99,2018-01-15,129316,177,472.0499999999998
100,2018-01-16,535,734,71088.65999999999
101,2018-01-16,42616,400,90219.83400000048
102,2018-01-16,46774,1020,946001.8439999998
103,2018-01-16,57192,951,196140.2219999992
104,2018-01-16,86302,121,218.718
105,2018-01-16,124381,589,266610.2760000007
106,2018-01-16,129316,217,593.5500000000003
107,2018-01-17,535,733,71940.00599999996
108,2018-01-17,42616,564,112042.38600000076
109,2018-01-17,46774,862,743212.8539999991
110,2018-01-17,57192,998,168155.89199999944
111,2018-01-17,86302,134,263.5199999999999
112,2018-01-17,124381,521,231341.8320000004
113,2018-01-17,129316,209,574.6500000000003
114,2018-01-18,535,682,71728.99199999997
115,2018-01-18,42616,396,79521.08400000048
116,2018-01-18,46774,723,669025.0080000011
117,2018-01-18,57192,941,180309.50999999943
118,2018-01-18,86302,123,241.72199999999987
119,2018-01-18,124381,516,236976.7500000004
120,2018-01-18,129316,142,389.6999999999999
121,2018-01-19,535,750,83748.05999999992
122,2018-01-19,42616,1219,220258.3859999996
123,2018-01-19,46774,850,770925.4560000016
124,2018-01-19,57192,866,238664.35799999896
125,2018-01-19,86302,133,238.78799999999984
126,2018-01-19,124381,475,220154.7420000006
127,2018-01-19,129316,190,488.25000000000006
128,2018-01-20,535,588,61553.66399999999
129,2018-01-20,42616,1027,188680.03199999995
130,2018-01-20,46774,596,414587.5560000009
131,2018-01-20,57192,693,154455.85800000012
132,2018-01-20,86302,107,194.904
133,2018-01-20,124381,415,192866.7960000005
134,2018-01-20,129316,185,512.0999999999995
135,2018-01-21,535,559,51915.23999999998
136,2018-01-21,42616,764,165153.0060000006
137,2018-01-21,46774,239,169666.23599999983
138,2018-01-21,57192,688,96711.39000000012
139,2018-01-21,86302,37,47.97
140,2018-01-21,124381,430,237171.96000000057
141,2018-01-21,129316,62,163.34999999999994
142,2018-01-22,535,730,81066.23999999995
143,2018-01-22,42616,723,147876.3720000006
144,2018-01-22,46774,883,693559.728
145,2018-01-22,57192,1027,206617.2299999989
146,2018-01-22,86302,135,281.358
